City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
295,haifa,32.8156,34.9892,285.67,82,40,3.09,IL,2024-12-31
296,callao,-12.0667,-77.15,295.31,78,0,3.09,PE,2024-12-31
297,as sulayyil,20.4607,45.5779,297.24,21,100,2.63,SA,2024-12-31
298,khash,28.2211,61.2158,286.28,64,95,3.62,IR,2024-12-31
299,turaif,31.6725,38.6637,281.29,76,75,3.09,SA,2024-12-31
300,tottori,35.5,134.2333,279.13,61,100,4.18,JP,2024-12-31
301,mount isa,-20.7333,139.5,293.02,40,0,2.06,AU,2024-12-31
302,moussoro,13.6408,16.4901,304.92,9,10,7.48,TD,2024-12-31
303,kaa-khem,51.6833,94.7333,249.73,93,17,1.95,RU,2024-12-31
304,mansoa,12.0733,-15.3189,310.82,11,0,3.77,GW,2024-12-31
305,selma,36.5708,-119.6121,277.64,100,0,1.54,US,2024-12-31
306,iskateley,67.6803,53.1512,267.84,92,100,11.58,RU,2024-12-31
307,revda,56.801,59.9303,268.43,89,100,4.83,RU,2024-12-31
308,baruun-urt,46.6806,113.2792,257.07,81,87,3.06,MN,2024-12-31
309,nuuk,64.1835,-51.7216,264.49,57,20,3.09,GL,2024-12-31
310,port mathurin,-19.6833,63.4167,298.93,70,49,5.13,MU,2024-12-31
311,tazovsky,67.4667,78.7,264.11,93,100,9.93,RU,2024-12-31
312,lerwick,60.1545,-1.1494,275.18,96,100,15.93,GB,2024-12-31
313,sumbawa besar,-8.5,117.4333,297.39,100,100,1.76,ID,2024-12-31
314,utraula,27.3167,82.4167,286.82,54,0,3.71,IN,2024-12-31
315,mendoza,-32.8908,-68.8272,301.87,41,13,3.53,AR,2024-12-31
316,sao vicente,-23.9631,-46.3919,300.34,83,48,2.68,BR,2024-12-31
317,berriane,32.8265,3.7669,285.83,56,100,10.06,DZ,2024-12-31
318,cova figueira,14.8905,-24.2934,294.35,58,71,3.77,CV,2024-12-31
319,muslyumovo,55.3033,53.1947,269.72,93,100,4.66,RU,2024-12-31
320,puerto madero,14.7208,-92.4215,299.26,83,20,0.0,MX,2024-12-31
321,greymouth,-42.4667,171.2,283.69,86,13,3.09,NZ,2024-12-31
322,quang ngai,15.1167,108.8,292.59,92,100,2.04,VN,2024-12-31
323,plettenberg bay,-34.0527,23.3716,294.4,63,75,4.94,ZA,2024-12-31
324,sawakin,19.1059,37.3321,296.38,58,100,7.15,SD,2024-12-31
325,melfort,52.8667,-104.6177,258.22,85,100,4.63,CA,2024-12-31
326,kayangel,8.0823,134.7173,301.79,78,100,5.94,PW,2024-12-31
327,pemba,-12.974,40.5178,303.54,79,75,5.58,MZ,2024-12-31
328,la passe,45.5549,-0.8967,281.75,65,8,2.11,FR,2024-12-31
329,shancheng,34.7953,116.0817,276.86,37,0,3.53,CN,2024-12-31
330,sao francisco de assis,-29.5503,-55.1311,305.95,37,0,2.97,BR,2024-12-31
331,pisco,-13.7,-76.2167,295.38,88,97,2.57,PE,2024-12-31
332,rongelap,11.1635,166.8941,300.39,77,2,7.71,MH,2024-12-31
333,ciudad bolivar,8.1222,-63.5497,303.62,54,100,3.7,VE,2024-12-31
334,micheweni,-4.9667,39.8333,301.17,79,27,6.88,TZ,2024-12-31
335,port moresby,-9.4431,147.1797,298.14,89,28,1.26,PG,2024-12-31
336,tangalle,6.024,80.7911,298.37,88,95,5.32,LK,2024-12-31
337,ulladulla,-35.35,150.4667,291.26,95,26,1.27,AU,2024-12-31
338,tabou,4.423,-7.3528,303.38,62,48,4.99,CI,2024-12-31
339,viedma,-40.8135,-62.9967,297.26,24,6,3.59,AR,2024-12-31
340,areado,-21.3586,-46.1456,299.9,62,35,1.51,BR,2024-12-31
341,mhamid,29.82,-5.72,287.51,33,3,0.6,MA,2024-12-31
342,itoman,26.1247,127.6694,289.16,63,75,3.6,JP,2024-12-31
343,aljustrel,37.8776,-8.1652,287.93,49,64,2.12,PT,2024-12-31
344,meadow lakes,61.6247,-149.6011,266.64,64,99,2.68,US,2024-12-31
345,el jadid,33.2549,-8.506,289.92,65,41,3.07,MA,2024-12-31
